Liquid Conductivity,Total Concentration,CPP,section,stick,x_lo,x_hi,y_lo,y_hi,default_color,effective_center_x,effective_center_y,top_depth,bottom_depth,mid_depth,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj,concentration_<12,concentration_<10,concentration_<9,concentration_<8,concentration_<6,concentration_<4
1.92,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8165029441907,156.8165029441907,156.8165029441907,27.81977619748942,30.452979490761543,156.83382520706996,156.83382520706996,156.83382520706996,0.0,0.0,0.0,0.0,0.0,0.0
1.93,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.816805295287,156.816805295287,156.816805295287,27.81977619748942,30.452979490761543,156.83412755816627,156.83412755816627,156.83412755816627,0.0,0.0,0.0,0.0,0.0,0.0
1.93,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8171985542146,156.8171985542146,156.8171985542146,27.81977619748942,30.452979490761543,156.83452081709387,156.83452081709387,156.83452081709387,0.0,0.0,0.0,0.0,0.0,0.0
1.93,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81760255141222,156.81760255141222,156.81760255141222,27.81977619748942,30.452979490761543,156.8349248142915,156.8349248142915,156.8349248142915,0.0,0.0,0.0,0.0,0.0,0.0
1.92,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8179084620831,156.8179084620831,156.8179084620831,27.81977619748942,30.452979490761543,156.83523072496237,156.83523072496237,156.83523072496237,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8182314112099,156.8182314112099,156.8182314112099,27.81977619748942,30.452979490761543,156.83555367408917,156.83555367408917,156.83555367408917,0.0,0.0,0.0,0.0,0.0,0.0
1.88,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81861736187153,156.81861736187153,156.81861736187153,27.81977619748942,30.452979490761543,156.8359396247508,156.8359396247508,156.8359396247508,0.0,0.0,0.0,0.0,0.0,0.0
1.87,0.0,,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81901842288448,156.81901842288448,156.81901842288448,27.81977619748942,30.452979490761543,156.83634068576376,156.83634068576376,156.83634068576376,0.0,0.0,0.0,0.0,0.0,0.0
1.87,91.5518320178783,6.91823899371069,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.81935545432856,156.81935545432856,156.81935545432856,27.81977619748942,30.452979490761543,156.83667771720783,156.83667771720783,156.83667771720783,160.0,159.0,158.0,158.0,155.0,148.0
1.83,395.793323654223,5.01392757660167,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8197280442203,156.8197280442203,156.8197280442203,27.81977619748942,30.452979490761543,156.8370503070996,156.8370503070996,156.8370503070996,722.0,718.0,718.0,715.0,707.0,682.0
1.85,623.438001426163,4.56989247311828,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.820088386674,156.820088386674,156.820088386674,27.81977619748942,30.452979490761543,156.83741064955328,156.83741064955328,156.83741064955328,745.0,744.0,743.0,740.0,734.0,710.0
1.85,296.866758798896,4.98154981549815,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8204018705558,156.8204018705558,156.8204018705558,27.81977619748942,30.452979490761543,156.83772413343507,156.83772413343507,156.83772413343507,544.0,542.0,542.0,539.0,534.0,515.0
1.83,323.879976979719,5.77181208053691,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82071516642287,156.82071516642287,156.82071516642287,27.81977619748942,30.452979490761543,156.83803742930215,156.83803742930215,156.83803742930215,746.0,745.0,745.0,741.0,734.0,702.0
1.8,234.083054336351,4.37017994858612,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82105120703162,156.82105120703162,156.82105120703162,27.81977619748942,30.452979490761543,156.8383734699109,156.8383734699109,156.8383734699109,778.0,778.0,778.0,777.0,774.0,744.0
1.83,299.526885100618,5.68862275449102,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8214424091818,156.8214424091818,156.8214424091818,27.81977619748942,30.452979490761543,156.83876467206107,156.83876467206107,156.83876467206107,670.0,668.0,666.0,664.0,658.0,630.0
1.81,396.886900027781,4.69613259668508,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8217391779075,156.8217391779075,156.8217391779075,27.81977619748942,30.452979490761543,156.83906144078676,156.83906144078676,156.83906144078676,725.0,724.0,721.0,717.0,711.0,690.0
1.84,231.550905675184,3.81558028616852,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82203695808272,156.82203695808272,156.82203695808272,27.81977619748942,30.452979490761543,156.839359220962,156.839359220962,156.839359220962,630.0,629.0,628.0,624.0,621.0,605.0
2.04,434.233322441116,5.0761421319797,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82234897546508,156.82234897546508,156.82234897546508,27.81977619748942,30.452979490761543,156.83967123834435,156.83967123834435,156.83967123834435,789.0,788.0,787.0,784.0,779.0,748.0
2.38,357.357558854471,4.73047304730473,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82280163167758,156.82280163167758,156.82280163167758,27.81977619748942,30.452979490761543,156.84012389455685,156.84012389455685,156.84012389455685,911.0,909.0,907.0,905.0,898.0,866.0
2.72,381.668208860556,5.22006141248721,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82366835286044,156.82366835286044,156.82366835286044,27.81977619748942,30.452979490761543,156.8409906157397,156.8409906157397,156.8409906157397,1960.0,1954.0,1949.0,1937.0,1919.0,1852.0
2.69,323.47581675699,4.21052631578947,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8240511836953,156.8240511836953,156.8240511836953,27.81977619748942,30.452979490761543,156.84137344657458,156.84137344657458,156.84137344657458,951.0,950.0,948.0,946.0,937.0,910.0
2.62,397.428689840766,4.90196078431373,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82434333428492,156.82434333428492,156.82434333428492,27.81977619748942,30.452979490761543,156.8416655971642,156.8416655971642,156.8416655971642,715.0,714.0,714.0,706.0,699.0,679.0
2.61,381.731684369467,5.10083036773428,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82464820773234,156.82464820773234,156.82464820773234,27.81977619748942,30.452979490761543,156.8419704706116,156.8419704706116,156.8419704706116,844.0,843.0,842.0,842.0,826.0,800.0
2.45,352.39680656227,6.61040787623066,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8249463993275,156.8249463993275,156.8249463993275,27.81977619748942,30.452979490761543,156.84226866220678,156.84226866220678,156.84226866220678,711.0,711.0,710.0,708.0,697.0,664.0
2.39,510.403719406923,5.0,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8252455870639,156.8252455870639,156.8252455870639,27.81977619748942,30.452979490761543,156.84256784994318,156.84256784994318,156.84256784994318,841.0,840.0,837.0,833.0,820.0,798.0
2.28,408.278869054681,5.17435320584927,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82556192150489,156.82556192150489,156.82556192150489,27.81977619748942,30.452979490761543,156.84288418438416,156.84288418438416,156.84288418438416,892.0,889.0,886.0,885.0,879.0,843.0
2.24,338.591590784885,5.1487414187643,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82593013777156,156.82593013777156,156.82593013777156,27.81977619748942,30.452979490761543,156.84325240065084,156.84325240065084,156.84325240065084,875.0,874.0,873.0,870.0,864.0,829.0
2.17,304.766094287875,4.89208633093525,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82616047232497,156.82616047232497,156.82616047232497,27.81977619748942,30.452979490761543,156.84348273520425,156.84348273520425,156.84348273520425,695.0,695.0,693.0,689.0,683.0,661.0
2.14,502.760279161221,3.87243735763098,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82653956536464,156.82653956536464,156.82653956536464,27.81977619748942,30.452979490761543,156.84386182824392,156.84386182824392,156.84386182824392,879.0,878.0,876.0,874.0,872.0,844.0
2.11,370.374584405811,4.95867768595041,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82678539082264,156.82678539082264,156.82678539082264,27.81977619748942,30.452979490761543,156.8441076537019,156.8441076537019,156.8441076537019,847.0,847.0,845.0,842.0,834.0,805.0
2.0,311.012447670565,4.19501133786848,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82707939317598,156.82707939317598,156.82707939317598,27.81977619748942,30.452979490761543,156.84440165605525,156.84440165605525,156.84440165605525,883.0,882.0,879.0,878.0,875.0,845.0
2.0,398.273877285772,4.63276836158192,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.827380420868,156.827380420868,156.827380420868,27.81977619748942,30.452979490761543,156.84470268374727,156.84470268374727,156.84470268374727,886.0,885.0,885.0,882.0,871.0,844.0
1.97,248.031570645244,3.83663366336634,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82767640880948,156.82767640880948,156.82767640880948,27.81977619748942,30.452979490761543,156.84499867168876,156.84499867168876,156.84499867168876,811.0,808.0,807.0,806.0,801.0,777.0
2.0,384.493069905141,4.34258142340169,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8279773270889,156.8279773270889,156.8279773270889,27.81977619748942,30.452979490761543,156.84529958996816,156.84529958996816,156.84529958996816,831.0,829.0,829.0,825.0,813.0,793.0
1.97,285.615920172577,4.59183673469388,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82828475786133,156.82828475786133,156.82828475786133,27.81977619748942,30.452979490761543,156.8456070207406,156.8456070207406,156.8456070207406,786.0,784.0,783.0,781.0,773.0,748.0
1.94,387.217449759568,4.79302832244009,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82857576111599,156.82857576111599,156.82857576111599,27.81977619748942,30.452979490761543,156.84589802399526,156.84589802399526,156.84589802399526,919.0,918.0,917.0,913.0,902.0,874.0
1.94,274.359159209288,3.30672748004561,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82896329902184,156.82896329902184,156.82896329902184,27.81977619748942,30.452979490761543,156.8462855619011,156.8462855619011,156.8462855619011,878.0,877.0,875.0,874.0,866.0,848.0
1.95,596.490434582772,5.13059701492537,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8293488977096,156.8293488977096,156.8293488977096,27.81977619748942,30.452979490761543,156.84667116058887,156.84667116058887,156.84667116058887,1072.0,1072.0,1070.0,1063.0,1054.0,1017.0
1.96,357.867678396471,4.375,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8296494757915,156.8296494757915,156.8296494757915,27.81977619748942,30.452979490761543,156.8469717386708,156.8469717386708,156.8469717386708,801.0,800.0,799.0,794.0,788.0,765.0
1.9,291.861151061386,4.16666666666667,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.82995071192204,156.82995071192204,156.82995071192204,27.81977619748942,30.452979490761543,156.8472729748013,156.8472729748013,156.8472729748013,888.0,888.0,887.0,885.0,878.0,851.0
1.86,294.339903901014,3.69515011547344,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83024976884818,156.83024976884818,156.83024976884818,27.81977619748942,30.452979490761543,156.84757203172745,156.84757203172745,156.84757203172745,866.0,866.0,863.0,862.0,859.0,834.0
1.87,357.382149827908,5.73333333333333,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.830564164676,156.830564164676,156.830564164676,27.81977619748942,30.452979490761543,156.84788642755527,156.84788642755527,156.84788642755527,752.0,750.0,750.0,747.0,737.0,707.0
1.91,348.322783917402,4.47247706422018,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8309468617109,156.8309468617109,156.8309468617109,27.81977619748942,30.452979490761543,156.8482691245902,156.8482691245902,156.8482691245902,872.0,872.0,870.0,868.0,862.0,833.0
1.83,393.277373178903,5.61167227833895,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83125291827182,156.83125291827182,156.83125291827182,27.81977619748942,30.452979490761543,156.8485751811511,156.8485751811511,156.8485751811511,893.0,891.0,891.0,889.0,877.0,841.0
1.82,370.543901256949,4.00485436893204,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83155328484395,156.83155328484395,156.83155328484395,27.81977619748942,30.452979490761543,156.84887554772322,156.84887554772322,156.84887554772322,825.0,824.0,822.0,820.0,816.0,791.0
1.88,457.385986458089,5.25700934579439,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83186697208237,156.83186697208237,156.83186697208237,27.81977619748942,30.452979490761543,156.84918923496164,156.84918923496164,156.84918923496164,856.0,856.0,856.0,849.0,839.0,811.0
1.83,307.180877315358,4.51895043731778,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83226310661578,156.83226310661578,156.83226310661578,27.81977619748942,30.452979490761543,156.84958536949506,156.84958536949506,156.84958536949506,687.0,686.0,685.0,679.0,673.0,655.0
1.82,403.703821627131,5.13126491646778,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8326483814514,156.8326483814514,156.8326483814514,27.81977619748942,30.452979490761543,156.84997064433068,156.84997064433068,156.84997064433068,838.0,838.0,836.0,830.0,825.0,795.0
1.87,391.522619202876,5.851755526658,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83294501112218,156.83294501112218,156.83294501112218,27.81977619748942,30.452979490761543,156.85026727400145,156.85026727400145,156.85026727400145,770.0,769.0,769.0,763.0,751.0,724.0
1.87,465.032694353154,5.52208835341365,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83324786094536,156.83324786094536,156.83324786094536,27.81977619748942,30.452979490761543,156.85057012382464,156.85057012382464,156.85057012382464,997.0,996.0,991.0,988.0,977.0,941.0
1.86,599.332751467089,5.3030303030303,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8335501819484,156.8335501819484,156.8335501819484,27.81977619748942,30.452979490761543,156.85087244482767,156.85087244482767,156.85087244482767,926.0,924.0,921.0,913.0,903.0,875.0
1.87,390.678533654323,4.41501103752759,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.833864304824,156.833864304824,156.833864304824,27.81977619748942,30.452979490761543,156.85118656770328,156.85118656770328,156.85118656770328,907.0,906.0,903.0,899.0,888.0,866.0
1.86,417.356936826676,5.75079872204473,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83425354038476,156.83425354038476,156.83425354038476,27.81977619748942,30.452979490761543,156.85157580326404,156.85157580326404,156.85157580326404,940.0,939.0,937.0,935.0,924.0,885.0
1.85,577.377352274905,5.96685082872928,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83455554311186,156.83455554311186,156.83455554311186,27.81977619748942,30.452979490761543,156.85187780599114,156.85187780599114,156.85187780599114,908.0,905.0,901.0,895.0,880.0,851.0
1.85,535.334279459454,6.10687022900763,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83478044767702,156.83478044767702,156.83478044767702,27.81977619748942,30.452979490761543,156.8521027105563,156.8521027105563,156.8521027105563,655.0,655.0,654.0,648.0,635.0,615.0
1.82,396.527362581518,5.98404255319149,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8351817148776,156.8351817148776,156.8351817148776,27.81977619748942,30.452979490761543,156.85250397775687,156.85250397775687,156.85250397775687,753.0,752.0,749.0,744.0,731.0,707.0
1.85,474.023130032831,4.99500499500499,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83548492838074,156.83548492838074,156.83548492838074,27.81977619748942,30.452979490761543,156.85280719126,156.85280719126,156.85280719126,1005.0,1001.0,1000.0,994.0,974.0,951.0
1.85,619.590027226736,4.24374319912949,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83578604782602,156.83578604782602,156.83578604782602,27.81977619748942,30.452979490761543,156.8531083107053,156.8531083107053,156.8531083107053,921.0,919.0,916.0,911.0,903.0,880.0
1.83,481.281139545986,5.57620817843866,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8361819339932,156.8361819339932,156.8361819339932,27.81977619748942,30.452979490761543,156.85350419687248,156.85350419687248,156.85350419687248,808.0,807.0,804.0,800.0,791.0,762.0
1.82,443.341448799055,5.82627118644068,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83648326851235,156.83648326851235,156.83648326851235,27.81977619748942,30.452979490761543,156.85380553139163,156.85380553139163,156.85380553139163,947.0,944.0,942.0,938.0,922.0,889.0
1.79,380.668988226783,5.53459119496855,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83677982841826,156.83677982841826,156.83677982841826,27.81977619748942,30.452979490761543,156.85410209129753,156.85410209129753,156.85410209129753,795.0,795.0,793.0,790.0,784.0,751.0
1.82,416.99849807347,4.47154471544715,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83708630710163,156.83708630710163,156.83708630710163,27.81977619748942,30.452979490761543,156.8544085699809,156.8544085699809,156.8544085699809,987.0,984.0,983.0,976.0,966.0,940.0
1.79,490.208318368874,5.06329113924051,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83747706264086,156.83747706264086,156.83747706264086,27.81977619748942,30.452979490761543,156.85479932552013,156.85479932552013,156.85479932552013,1029.0,1027.0,1026.0,1016.0,1008.0,975.0
1.82,520.5152892841,5.44444444444444,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83778614464163,156.83778614464163,156.83778614464163,27.81977619748942,30.452979490761543,156.8551084075209,156.8551084075209,156.8551084075209,902.0,900.0,894.0,884.0,878.0,851.0
1.81,484.359744885839,4.8155737704918,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83817639999788,156.83817639999788,156.83817639999788,27.81977619748942,30.452979490761543,156.85549866287715,156.85549866287715,156.85549866287715,977.0,976.0,972.0,968.0,959.0,929.0
1.78,403.329352657385,4.36991869918699,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.838387396558,156.838387396558,156.838387396558,27.81977619748942,30.452979490761543,156.85570965943728,156.85570965943728,156.85570965943728,987.0,984.0,982.0,972.0,968.0,941.0
1.8,584.621166577497,5.98859315589354,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83877980343252,156.83877980343252,156.83877980343252,27.81977619748942,30.452979490761543,156.8561020663118,156.8561020663118,156.8561020663118,1054.0,1052.0,1050.0,1042.0,1024.0,989.0
1.73,645.514089026555,5.35549399815328,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83908534292053,156.83908534292053,156.83908534292053,27.81977619748942,30.452979490761543,156.8564076057998,156.8564076057998,156.8564076057998,1090.0,1083.0,1081.0,1075.0,1066.0,1025.0
1.79,476.680085298702,5.49707602339181,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83957758866543,156.83957758866543,156.83957758866543,27.81977619748942,30.452979490761543,156.8568998515447,156.8568998515447,156.8568998515447,860.0,855.0,849.0,840.0,834.0,808.0
1.79,627.467141153518,6.81586978636826,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.83988431500435,156.83988431500435,156.83988431500435,27.81977619748942,30.452979490761543,156.85720657788363,156.85720657788363,156.85720657788363,985.0,983.0,977.0,973.0,959.0,916.0
1.75,394.114261296425,5.63549160671463,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84026825158068,156.84026825158068,156.84026825158068,27.81977619748942,30.452979490761543,156.85759051445996,156.85759051445996,156.85759051445996,837.0,834.0,828.0,822.0,811.0,787.0
1.71,540.160280752409,5.2914798206278,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8406577509275,156.8406577509275,156.8406577509275,27.81977619748942,30.452979490761543,156.85798001380678,156.85798001380678,156.85798001380678,1121.0,1115.0,1110.0,1105.0,1094.0,1056.0
1.74,512.96413486748,5.8891454965358,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8409633050836,156.8409633050836,156.8409633050836,27.81977619748942,30.452979490761543,156.85828556796287,156.85828556796287,156.85828556796287,868.0,866.0,864.0,862.0,852.0,815.0
1.74,412.274973379382,5.93654042988741,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84136617557695,156.84136617557695,156.84136617557695,27.81977619748942,30.452979490761543,156.85868843845623,156.85868843845623,156.85868843845623,979.0,977.0,973.0,969.0,961.0,919.0
1.74,411.283045678901,4.18994413407821,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84171583249002,156.84171583249002,156.84171583249002,27.81977619748942,30.452979490761543,156.8590380953693,156.8590380953693,156.8590380953693,1079.0,1074.0,1070.0,1068.0,1061.0,1029.0
1.66,340.394784646701,5.72916666666667,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84214128671948,156.84214128671948,156.84214128671948,27.81977619748942,30.452979490761543,156.85946354959876,156.85946354959876,156.85946354959876,769.0,768.0,766.0,761.0,751.0,724.0
1.66,644.532448355811,6.68549905838041,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84247135562362,156.84247135562362,156.84247135562362,27.81977619748942,30.452979490761543,156.8597936185029,156.8597936185029,156.8597936185029,1065.0,1062.0,1055.0,1047.0,1038.0,991.0
1.67,533.268361688722,5.64681724845996,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84284557109845,156.84284557109845,156.84284557109845,27.81977619748942,30.452979490761543,156.86016783397773,156.86016783397773,156.86016783397773,977.0,974.0,971.0,963.0,954.0,919.0
1.69,555.637824888397,6.86845168800931,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8431800103383,156.8431800103383,156.8431800103383,27.81977619748942,30.452979490761543,156.86050227321758,156.86050227321758,156.86050227321758,860.0,859.0,851.0,847.0,835.0,800.0
1.66,437.010143843162,5.1819184123484,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8435988096671,156.8435988096671,156.8435988096671,27.81977619748942,30.452979490761543,156.86092107254638,156.86092107254638,156.86092107254638,908.0,907.0,901.0,897.0,890.0,860.0
1.65,359.679207190165,5.68862275449102,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84398232364694,156.84398232364694,156.84398232364694,27.81977619748942,30.452979490761543,156.86130458652622,156.86130458652622,156.86130458652622,673.0,668.0,665.0,659.0,649.0,630.0
1.64,580.375577194382,5.74488802336904,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84434303829545,156.84434303829545,156.84434303829545,27.81977619748942,30.452979490761543,156.86166530117472,156.86166530117472,156.86166530117472,1032.0,1027.0,1024.0,1018.0,1005.0,968.0
1.63,308.855219598947,5.18867924528302,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84462227280662,156.84462227280662,156.84462227280662,27.81977619748942,30.452979490761543,156.8619445356859,156.8619445356859,156.8619445356859,640.0,636.0,633.0,630.0,624.0,603.0
1.62,342.131335534957,5.03432494279176,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8450091868056,156.8450091868056,156.8450091868056,27.81977619748942,30.452979490761543,156.8623314496849,156.8623314496849,156.8623314496849,876.0,874.0,873.0,871.0,863.0,830.0
1.62,577.194703309764,5.36130536130536,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.8453868587459,156.8453868587459,156.8453868587459,27.81977619748942,30.452979490761543,156.8627091216252,156.8627091216252,156.8627091216252,860.0,858.0,856.0,850.0,841.0,812.0
1.61,499.79509978856,5.58086560364465,230_4,stick1,0.0,0.03,0.0,0.032,5.0,0.015,0.016,156.84568647230023,156.84568647230023,156.84568647230023,27.81977619748942,30.452979490761543,156.8630087351795,156.8630087351795,156.8630087351795,882.0,878.0,876.0,872.0,864.0,829.0
